TMEM30A,HNRNPR,DHRS11,PTK2
C1RL,NR6A1,CABP7,PLAU
CMSS1,B4GALT6,FRMD4A,Blank-0801
C4orf19,TBC1D12,KCTD12,APOLD1
TIGD6,FAM65B,TOR3A,ITPKB
MARCH9,DAZAP1,FZD3,ME1
FSTL1,ERRFI1,SEMA3E,PTPRG
NAGK,FADS2,TGIF2,FMN1
BNC2,ZNF682,EXPH5,TOB2
TIFA,EIF4BP4,OSMR,FLYWCH1
CSF1,RNF103,MFNG,TRIM58
RAB39B,PAXIP1,STX11,MPEG1
B4GALNT1,ARL17A,ZCCHC24,INADL
PPA1,HPS4,ADGRB1,CAV1
DMRTA1,MMP19,Blank-0239,GSDMB
MNT,CCDC154,PCDHGB5,ZNF354A
DUSP16,NAGK,FZD8,RPL14
Blank-2348,Blank-1210,LINS,KLF9
NAALAD2,ZFRP1,SPTLC3,AFG3L2
GPR37,CFAP58,DNAJC25,B3GNT3
TM6SF1,ADAMTS9,VAV1,FAM49A
CPLX1,CNGB1,ZNF91,MTHFD2
CEP152,ZNF547,TBKBP1,CCDC154
IGIP,SLC35E2B,HOXA13,PNLDC1
CDS1,TNFRSF1B,GAS1,WRN
PTGIS,F2RL2,LEPR,MYH15
ATP2B4,TBC1D9,TMEM167A,FAM175A
Blank-1708,ETV1,SCAF4,SEMA3A
PTPRH,GPCPD1,ELK3,CCDC80
Blank-0554,AMOTL1,PTPRJ,SGTB
BTG2,MCM5,ZNF100,PCDH18
DDX26B,RASEF,ARPP19,RPL6
SERINC5,C14orf28,ARHGAP6,CPNE4
TGFBR3,RBM25,ARHGAP26,SIX4
BRI3BP,MUC19,EGFR,ZNF763
RAB33B,CCDC18,CBX4,GMEB1
COL6A2,FAM76B,SGOL2,SLC6A6
KCNQ3,RIMKLBP1,ZNF480,KCTD10
HNRNPR,ZNF280A,VEGFC,TXNL1
ZNF780B,BCL2L1,FAM83E,KLHL4
CUEDC1,HMGA2,CNTN3,ZFP30
ZNF853,MDGA1,NR2F2,RBM5
GAB2,NDRG1,Blank-1140,GPC6
CYP4V2,OTOGL,Blank-2614,CEBPG
SLC16A12,HM13,TTYH1,FAM107B
ATXN7L1,STK32A,GLG1,ZNF365
C4BPB,TEAD1,KCTD5,PPM1E
ADGRL2,JMY,PANX1,TGIF1
PHLDA3,MYHAS,NR0B1,ABLIM3
RAB15,Blank-0885,TNIK,ADGRG4
PPP1R13L,SLC1A4,DYRK3,NUFIP2
GRB7,CCDC144NL,Blank-0685,SNN
GRTP1,COL6A2,GTPBP10,CD96
DCBLD1,DBNL,SNX8,DOCK10
SLIT2,TMEM42,AATK,MZF1
ATP1A3,H2AFY,MYOM3,PER1
PODXL2,SYT12,ACSL4,Blank-1384
ORC1,SOAT1,FAAH2,MIB1
Blank-0226,SHROOM3,MAMLD1,Blank-0685
TMCC1,SCAF4,Blank-2348,DIAPH2
TBC1D19,ANXA4,WDR5,EFNA3
RPS27L,FAM126A,SLC23A2,RNF103
MEGF9,SOCS4,RPL12,ANKRD62
FAM196A,MGAT3,GAREML,PDCD1LG2
MEX3B,PDE5A,CAPN5,EIF4A3
ANO2,UGP2,LYPD1,JAG1
MBLAC2,NCAM2,ANTXR1,THAP9
BTN3A1,CD22,CKAP4,IL18R1
RNF165,REL,MRPL32,PEPD
PDGFRA,TP73,SLC6A15,Blank-1922
GPC3,ADAM23,KDM7A,APOBEC3C
KIAA1324,GABPB2,RASSF5,SLC38A1
PTPRB,RMI2,Blank-1571,ATP6V1E2
CAMK2D,OSBPL3,SYNPO,UBTF
FSCN1,LCA5,PRTG,KMT2A
TCF4,SLC30A1,Blank-1961,TMEM43
GABRA2,H1F0,MMS22L,MEF2C
ENG,GULP1,NKILA,C8orf4
CAPS2,MATR3,PPP1R16B,Blank-2314
NOTUM,PCDHGB2,C11orf95,SORBS2
PAXIP1,GLRX,NSDHL,SDPR
ZHX3,GNG11,ST6GALNAC2,HHIP
COL5A1,SETDB2,HNRNPDL,RGS3
KIAA0226L,SLC4A4,RASSF9,Blank-1961
